CHROMOSOME	GENOME_START	GENE_SYMBOL	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40
1	197053258	ASPM	-0.08	-0.634	-0.469	-0.96	-0.03	-1.362	-0.484	-0.44	-0.97	-0.78	-0.55	-0.521	-0.556	-0.384	-0.286	-0.282	-0.454	-1.378	-0.245	-0.966	-0.312	-0.247	-0.02	-0.835	-0.744	-0.319	-0.164	-0.715	-1.249	-1.157	-0.18	-0.239	-0.024	-0.179	-1.537	-0.591	-0.937	-0.376	-0.739	-0.723
1	203274619	BTG2	-0.328	-0.185	-0.306	-0.692	-0.119	-0.271	-0.483	-0.377	-0.778	-0.419	-0.545	-1.268	-1.655	-0.633	-0.5	-2.299	-0.725	-0.174	-0.644	-0.543	-0.893	-0.029	-0.717	-0.718	-0.57	-0.536	-0.579	-0.101	-0.466	-1.236	-0.501	-0.017	-0.171	-0.492	-0.411	-0.104	-1.31	-1.054	-0.612	-0.652
1	193091147	CDC73	-0.029	-0.236	-0.452	-0.696	-0.966	-0.06	-0.798	-0.336	-0.063	-0.424	-0.446	-0.671	-0.542	-0.813	-1.243	-0.793	-0.843	-0.474	-0.619	-0.651	-0.573	-0.9	-0.152	-0.084	-0.928	-0.07	-0.874	-0.388	-0.194	-0.39	-0.05	-0.922	-2.166	-0.756	-0.906	-0.735	-1.563	-1.091	-0.791	-1.166
1	201977073	ELF3	-0.484	-0.688	-0.625	-0.378	-0.285	-1.506	-0.181	-0.379	-1.129	-0.527	-1.29	-0.782	-0.432	-0.58	-0.963	-0.399	-0.56	-0.329	-0.98	-0.349	-0.306	-1.69	-0.84	-0.449	-0.881	-0.207	-0.893	-0.768	-1.608	-1.374	-1.08	-0.752	-0.328	-0.8	-0.643	-0.904	-0.931	-1.028	-0.572	-0.871
1	205577071	ELK4	-0.978	-1.6	-0.655	-0.622	-1.013	-0.981	-0.205	-0.953	-0.78	-0.116	-0.739	-0.174	-0.447	-0.328	-1.469	-0.216	-0.064	-0.183	-0.31	-0.293	-0.406	-1.187	-0.248	-0.014	-2.168	-0.871	-0.951	-0.407	-0.864	-1.996	-0.842	-0.417	-0.448	-1.682	-1.106	-0.969	-0.024	-0.421	-0.537	-1.662
1	204485511	MDM4	-0.442	-0.383	-0.826	-0.142	-0.345	-1.113	-0.006	-0.419	-0.14	-0.6	-0.625	-1.406	-0.91	-1.498	-0.792	-0.467	-0.198	-0.846	-1.383	-0.143	-0.758	-0.029	-0.306	-0.005	-0.725	-0.832	-0.246	-1.164	-1.175	-0.964	-0.746	-1.717	-0.774	-1.062	-1.339	-0.528	-0.766	-1.033	-0.898	-1.058
1	198607801	PTPRC	-0.165	-0.404	-0.289	-0.951	-0.172	-0.077	-0.392	-0.931	-0.561	-1.171	-2.821	-0.443	-1.283	-0.52	-1.347	-0.152	-0.479	-0.429	-1.026	-1.617	-2.057	-0.972	-0.983	-1.282	-0.714	-0.779	-0.886	-0.265	-0.442	-0.789	-0.912	-1.176	-1.253	-1.299	-0.094	-0.824	-0.517	-0.462	-1.44	-0.383
1	205626979	SLC45A3	-0.476	-1.437	-0.313	-0.15	-0.914	-0.223	-0.061	-1.01	-0.572	-1.197	-1.079	-1.458	-0.591	-1.061	-0.241	-0.835	-0.43	-1.687	-0.102	-0.223	-0.432	-0.905	-0.687	-1.219	-0.218	-0.173	-1.077	-0.951	-0.976	-0.639	-0.492	-0.73	-0.552	-0.516	-0.781	-0.88	-0.012	-0.013	-0.885	-1.357
1	186280784	TPR	-0.354	-0.96	-0.861	-0.162	-0.118	-0.264	-0.63	-0.494	-0.221	-0.599	-1.146	-0.017	-0.237	-0.83	-0.135	-0.054	-0.109	-0.657	-0.207	-0.331	-0.394	-0.385	-0.394	-0.875	-0.014	-0.312	-0.081	-1.306	-0.064	-0.72	-2.055	-0.185	-1.084	-0.949	-0.091	-0.354	-0.064	-0.235	-0.979	-0.159
2	29415640	ALK	-0.48	-0.295	-0.406	-0.171	-0.697	-0.871	-0.614	-0.397	-0.27	-1.049	-0.733	-0.373	-0.348	-0.063	-0.349	-0.981	-0.875	-1.973	-0.051	-0.395	-0.093	-0.04	-0.636	-0.472	-0.159	-0.676	-0.534	-1.365	-1.217	-0.462	-0.394	-0.553	-0.734	-1.065	-0.376	-0.524	-0.46	-0.497	-0.138	-1.267
2	25956622	ASXL2	-0.05	-0.539	-1.795	-1.796	-0.154	-0.264	-0.551	-0.545	-0.147	-0.233	-0.579	-0.867	-0.375	-1.073	-0.533	-1.925	-0.095	-0.311	-0.046	-0.557	-0.354	-0.639	-1.724	-0.418	-0.379	-0.256	-0.366	-1.034	-0.382	-1.19	-0.308	-0.516	-0.793	-0.358	-1.724	-0.016	-0.248	-0.887	-0.163	-0.07
2	60678302	BCL11A	-1.214	-1.536	-0.67	-0.648	-0.699	-0.462	-0.348	-0.517	-0.981	-0.246	-0.851	-0.791	-0.497	-2.631	-0.112	-0.786	-0.964	-1.447	-1.101	-0.345	-0.597	-0.234	-0.7	-0.04	-0.833	-0.457	-0.873	-0.932	-1.107	-0.353	-0.102	-1.201	-0.609	-0.78	-1.279	-0.401	-0.55	-0.311	-1.112	-0.651
2	32582096	BIRC6	-0.693	-0.028	-1.7	-0.423	-0.635	-0.376	-0.524	-0.007	-0.368	-0.432	-0.235	-0.858	-0.559	-0.46	-0.373	-0.623	-0.553	-0.416	-0.319	-0.344	-0.404	-0.977	-0.308	-0.614	-1.384	-0.898	-1.212	-1.119	-0.837	-1.463	-0.949	-0.983	-0.291	-0.38	-0.332	-0.818	-0.271	-0.449	-0.392	-0.532
2	25455845	DNMT3A	-1.043	-0.858	-0.415	-0.683	-0.889	-0.423	-0.283	-0.363	-0.566	-2.09	-0.533	-0.371	-0.493	-0.584	-0.647	-0.537	-1.59	-0.25	-0.281	-0.27	-0.364	-0.783	-0.213	-0.079	-0.263	-0.005	-0.223	-0.246	-0.315	-1.31	-0.624	-0.753	-0.186	-0.69	-0.496	-1.339	-0.7	-0.555	-0.993	-0.711
2	42396490	EML4	-0.115	-0.075	-1.32	-1.743	-0.517	-0.524	-0.466	-0.005	-0.966	-0.84	-1.715	-1.04	-0.719	-0.972	-1.583	-0.532	-0.338	-0.251	-0.208	-0.646	-0.586	-0.087	-0.999	-0.087	-1.052	-0.493	-0.275	-0.727	-0.206	-0.272	-0.398	-0.998	-0.804	-1.535	-0.374	-1.357	-0.064	-0.892	-0.252	-0.075
2	46520806	EPAS1	-1.592	-0.339	-0.138	-0.041	-0.564	-0.875	-1.252	-0.195	-0.595	-0.611	-0.296	-0.643	-0.735	-1.998	-1.16	-0.579	-0.739	-0.867	-0.69	-1.177	-0.756	-0.851	-0.171	-0.568	-0.521	-0.407	-0.533	-0.378	-0.939	-0.374	-0.039	-0.635	-0.221	-0.143	-1.202	-1.089	-0.765	-0.743	-0.57	-0.044
2	48016455	FBXO11	-0.601	-1.161	-0.242	-1.239	-1.435	-0.767	-1.111	-1.324	-0.244	-0.33	-0.219	-0.28	-0.598	-0.483	-0.463	-1.66	-0.921	-0.137	-0.365	-0.37	-0.331	-0.26	-1.06	-0.823	-0.197	-0.441	-0.278	-0.033	-0.377	-0.64	-0.305	-0.443	-0.009	-1.009	-0.041	-0.452	-0.241	-1.024	-0.856	-0.74
2	47630108	MSH2	-0.711	-0.783	-0.746	-1.195	-1.368	-0.352	-1.105	-0.454	-0.352	-0.284	-1.409	-1.276	-0.695	-1.472	-0.643	-1.379	-1.089	-0.587	-0.943	-1.149	-0.153	-0.83	-0.513	-0.392	-0.569	-0.9	-1.307	-0.167	-0.676	-0.513	-0.331	-0.819	-0.17	-0.526	-1.199	-1.812	-0.02	-0.853	-0.079	-0.723
2	47922669	MSH6	-1.699	-0.238	-0.187	-0.454	-0.877	-1.16	-0.304	-0.93	-0.416	-0.298	-0.355	-2.03	-0.052	-0.257	-0.865	-0.617	-0.117	-0.166	-1.152	-0.169	-0.459	-0.181	-0.627	-1.617	-1.256	-0.22	-0.473	-0.288	-0.924	-0.271	-0.21	-0.567	-1.111	-1.019	-0.986	-0.408	-0.577	-0.226	-0.517	-0.198
